refund_id,transaction_id,currency,refund_amount_minor,status,requested_at,completed_at
RFD-0000253,TXN-00004048,THB,8980,COMPLETED,2026-03-03 07:09:11,2026-03-03 07:19:11
RFD-0000254,TXN-00000370,SGD,718,COMPLETED,2026-02-22 07:02:16,2026-02-22 07:12:16
RFD-0000255,TXN-00000371,USD,2207,COMPLETED,2026-03-02 11:28:19,2026-03-02 11:38:19
RFD-0000256,TXN-00002449,THB,270,COMPLETED,2026-01-08 16:04:18,2026-01-08 16:14:18
RFD-0000257,TXN-00004961,THB,11886,COMPLETED,2026-02-20 17:01:05,2026-02-20 17:11:05
RFD-0000258,TXN-00003309,SGD,706,COMPLETED,2026-02-26 17:21:43,2026-02-26 17:31:43
RFD-0000259,TXN-00003101,USD,4388,COMPLETED,2026-02-25 13:13:53,2026-02-25 13:23:53
RFD-0000260,TXN-00003018,USD,447,COMPLETED,2026-02-22 06:35:04,2026-02-22 06:45:04
RFD-0000261,TXN-00003058,USD,147,COMPLETED,2026-03-02 12:34:04,2026-03-02 12:44:04
RFD-0000262,TXN-00002389,THB,208,COMPLETED,2026-02-22 02:08:45,2026-02-22 02:18:45
RFD-0000263,TXN-00003812,THB,767,COMPLETED,2026-02-05 02:54:19,2026-02-05 03:04:19
RFD-0000264,TXN-00002732,SGD,1885,COMPLETED,2026-02-26 15:50:10,2026-02-26 16:00:10
RFD-0000265,TXN-00002304,THB,4734,COMPLETED,2026-01-11 15:44:55,2026-01-11 15:54:55
RFD-0000266,TXN-00002175,SGD,378,COMPLETED,2026-01-31 19:00:39,2026-01-31 19:10:39
RFD-0000267,TXN-00000382,THB,3338,COMPLETED,2026-01-31 13:50:30,2026-01-31 14:00:30
RFD-0000268,TXN-00000047,SGD,1150,COMPLETED,2026-02-04 16:01:28,2026-02-04 16:11:28
RFD-0000269,TXN-00003884,SGD,2350,COMPLETED,2026-02-05 18:07:30,2026-02-05 18:17:30
RFD-0000270,TXN-00004252,SGD,2025,COMPLETED,2026-01-09 00:21:16,2026-01-09 00:31:16
RFD-0000271,TXN-00000893,USD,4021,COMPLETED,2026-03-03 20:49:01,2026-03-03 20:59:01
RFD-0000272,TXN-00004720,SGD,2061,COMPLETED,2026-01-16 10:33:21,2026-01-16 10:43:21
RFD-0000273,TXN-00001013,THB,13935,COMPLETED,2026-02-19 12:15:23,2026-02-19 12:25:23
RFD-0000274,TXN-00002725,SGD,418,COMPLETED,2026-01-06 08:15:07,2026-01-06 08:25:07
RFD-0000275,TXN-00001631,THB,477,COMPLETED,2026-01-28 13:04:24,2026-01-28 13:14:24
RFD-0000276,TXN-00000945,USD,10087,COMPLETED,2026-03-01 04:19:58,2026-03-01 04:29:58
RFD-0000277,TXN-00002716,THB,3478,COMPLETED,2026-01-12 02:35:55,2026-01-12 02:45:55
RFD-0000278,TXN-00002222,SGD,2965,COMPLETED,2026-02-07 00:58:34,2026-02-07 01:08:34
RFD-0000279,TXN-00002996,THB,783,COMPLETED,2026-01-05 06:50:01,2026-01-05 07:00:01
RFD-0000280,TXN-00001586,USD,747,COMPLETED,2026-02-25 08:29:23,2026-02-25 08:39:23
RFD-0000281,TXN-00003269,SGD,279,COMPLETED,2026-01-12 09:50:00,2026-01-12 10:00:00
RFD-0000282,TXN-00002593,USD,6260,COMPLETED,2026-03-04 23:11:10,2026-03-04 23:21:10
RFD-0000283,TXN-00000267,SGD,10204,COMPLETED,2026-01-17 02:45:16,2026-01-17 02:55:16
RFD-0000284,TXN-00003964,USD,706,COMPLETED,2026-01-25 08:18:52,2026-01-25 08:28:52
RFD-0000285,TXN-00001108,THB,3616,COMPLETED,2026-01-22 11:53:07,2026-01-22 12:03:07
RFD-0000286,TXN-00001827,THB,5099,COMPLETED,2026-01-30 09:01:35,2026-01-30 09:11:35
RFD-0000287,TXN-00000642,THB,2251,COMPLETED,2026-01-15 21:21:27,2026-01-15 21:31:27
RFD-0000288,TXN-00004350,USD,14601,COMPLETED,2026-01-11 15:41:30,2026-01-11 15:51:30
RFD-0000289,TXN-00003663,USD,1249,COMPLETED,2026-01-28 11:16:51,2026-01-28 11:26:51
RFD-0000290,TXN-00004597,USD,913,COMPLETED,2026-02-04 14:47:46,2026-02-04 14:57:46
RFD-0000291,TXN-00001363,THB,561,COMPLETED,2026-01-12 23:02:10,2026-01-12 23:12:10
RFD-0000292,TXN-00004772,SGD,2527,COMPLETED,2026-02-08 16:26:40,2026-02-08 16:36:40
RFD-0000293,TXN-00000655,THB,10121,COMPLETED,2026-01-17 00:35:13,2026-01-17 00:45:13
RFD-0000294,TXN-00003918,THB,748,COMPLETED,2026-01-31 01:56:55,2026-01-31 02:06:55
RFD-0000295,TXN-00003961,USD,1265,COMPLETED,2026-01-07 22:04:33,2026-01-07 22:14:33
RFD-0000296,TXN-00002079,USD,1202,COMPLETED,2026-02-09 10:22:05,2026-02-09 10:32:05
RFD-0000297,TXN-00002196,SGD,620,COMPLETED,2026-03-01 10:40:20,2026-03-01 10:50:20
RFD-0000298,TXN-00002618,THB,7017,COMPLETED,2026-02-10 08:06:49,2026-02-10 08:16:49
RFD-0000299,TXN-00002219,USD,270,COMPLETED,2026-02-24 21:42:14,2026-02-24 21:52:14
RFD-0000300,TXN-00001781,SGD,2326,COMPLETED,2026-02-12 06:44:34,2026-02-12 06:54:34
