date,gmv,orders,customers,units_sold,refund_amount,sku_orders,revenue,page_views,visitors,conversion_rate,product_impressions,unique_product_impressions,product_clicks,unique_product_clicks,aov,live_creator_gmv,video_affiliate_gmv
2026-06-28,3370.89,12,12,13,362.87,12,3895.6,429,286,0.037067,8744,4685,389,273,283.68,0.0,2212.43
2026-06-29,998.16,4,4,4,131.9,4,1161.08,220,150,0.006655,3790,2094,187,137,192.67,114.67,547.09
2026-06-30,6981.08,22,22,23,663.84,22,8036.64,638,419,0.055266,14419,0,601,0,357.49,0.0,5102.16
2026-07-01,2752.13,10,10,10,306.63,10,3183.96,384,257,0.031998,7607,0,344,0,265.98,0.0,1752.97
2026-07-02,3826.08,13,13,14,403.09,13,4418.67,460,305,0.040233,9539,5094,419,293,295.33,336.61,2558.63
2026-07-03,1018.51,4,4,4,134.13,4,1184.63,223,152,0.00716,3843,2122,190,139,193.92,0.0,559.93
2026-07-04,2734.22,10,10,10,304.97,10,3163.36,382,256,0.031835,7573,4079,343,242,265.43,257.27,1739.89
2026-07-05,2395.59,9,9,9,273.25,9,2773.53,356,239,0.02853,6915,3737,317,225,254.51,0.0,1494.89
2026-07-06,6128.5,20,20,21,595.87,20,7060.02,595,391,0.05201,13185,6957,556,382,343.0,0.0,4393.71
2026-07-07,5442.17,18,18,19,539.97,18,6273.32,557,368,0.04904,12152,6432,518,358,330.31,0.0,3833.81
2026-07-08,587.56,2,2,2,102.73,2,685.44,165,114,0.0,2635,1475,136,101,163.59,0.0,297.59
2026-07-09,9005.07,28,27,29,819.84,28,10352.7,734,479,0.06163,17176,8975,700,475,387.58,0.0,6833.52
2026-07-10,18449.75,53,50,59,1899.35,53,21902.72,1472,938,0.093502,41241,20862,1500,976,546.34,0.0,13445.09
2026-07-11,5104.23,17,17,18,512.0,17,5885.77,538,355,0.047438,11628,6164,498,345,323.65,0.0,3561.86
2026-07-12,18449.75,53,50,59,1899.35,53,21902.72,1398,892,0.091141,38650,19599,1418,925,546.34,1711.84,13445.09
2026-07-13,4469.39,15,15,16,458.58,15,5157.36,500,331,0.044118,10614,5646,460,320,310.28,0.0,3058.26
2026-07-14,6508.13,21,21,22,626.32,21,7494.97,614,404,0.053512,13741,7240,576,396,349.61,0.0,4707.48
2026-07-15,2920.21,10,11,11,322.11,10,3377.35,396,265,0.033479,7923,4260,357,252,271.04,0.0,1876.41
2026-07-16,1418.47,5,6,6,176.74,5,1646.88,267,181,0.015435,4825,2642,231,167,215.45,0.0,819.08
2026-07-17,18449.75,53,50,59,1899.35,53,21902.72,1456,928,0.093012,40689,20593,1483,965,546.34,0.0,13445.09
2026-07-18,18449.75,53,50,59,1899.35,53,21902.72,1531,974,0.095312,43344,21886,1567,1017,546.34,0.0,13445.09
2026-07-19,17143.4,48,45,49,1397.9,48,19641.92,1043,673,0.077726,26732,0,1029,0,475.46,0.0,13445.09
2026-07-20,3543.72,12,12,13,378.25,12,4094.25,441,293,0.038317,9050,4842,400,281,288.23,0.0,2343.12
2026-07-21,3950.76,13,14,14,413.97,13,4561.89,468,311,0.041034,9752,0,427,0,298.36,0.0,2654.56
2026-07-22,983.06,4,4,4,130.23,4,1143.61,218,149,0.006275,3751,2073,186,136,191.74,0.0,537.6
2026-07-23,0.0,0,0,0,962.28,0,12546.89,815,531,0.066462,19615,0,786,0,412.11,0.0,0.0
2026-07-24,2805.07,10,10,11,311.52,10,3244.88,388,259,0.032474,7707,4148,348,246,267.6,0.0,1791.73
2026-07-25,1722.33,6,7,7,207.71,6,1997.58,297,200,0.020285,5513,3004,260,187,229.17,0.0,1023.55
2026-07-26,8117.07,25,25,27,752.23,25,9336.93,693,454,0.059035,15993,8379,658,448,375.02,0.0,6065.95
2026-07-27,7573.98,24,23,25,710.26,24,8715.42,667,438,0.057304,15250,0,631,0,366.86,0.0,5602.51
2026-07-28,2774.83,10,10,11,308.73,10,3210.09,386,258,0.032203,7650,4119,346,244,266.68,260.32,1769.58
2026-07-29,12151.64,36,34,37,1051.02,36,13948.01,864,561,0.069122,21103,10943,837,563,426.27,0.0,9638.45
2026-07-30,7414.48,23,23,25,697.83,23,8532.85,660,433,0.056771,15029,0,623,0,364.39,0.0,5467.32
2026-07-31,2002.19,7,8,8,235.41,7,2320.29,322,217,0.024047,6114,3319,284,203,240.4,0.0,1216.68
2026-08-01,2028.59,7,8,8,237.99,7,2350.72,325,219,0.024374,6169,3348,287,205,241.41,0.0,1235.12
2026-08-02,3710.24,13,13,14,392.94,13,4285.59,452,300,0.039464,9340,4992,412,288,292.46,0.0,2469.92
2026-08-03,3443.99,12,12,13,369.39,12,3979.63,434,289,0.037603,8874,4752,394,276,285.62,0.0,2267.59
2026-08-04,6487.54,21,20,22,624.68,21,7471.38,613,403,0.053433,13711,7224,575,395,349.26,0.0,4690.39
2026-08-05,2446.05,9,9,9,278.03,9,2831.63,360,241,0.029051,7015,3789,321,228,256.2,0.0,1531.09
2026-08-06,1845.13,7,7,7,219.95,7,2139.21,308,208,0.022005,5780,3144,271,194,234.24,187.75,1107.76
2026-08-07,18449.75,53,50,59,1899.35,53,21902.72,1329,850,0.088807,36249,18425,1341,878,546.34,0.0,13445.09
2026-08-08,711.06,2,3,3,102.73,2,828.65,183,126,0.0,3003,1674,153,113,172.97,0.0,370.55
2026-08-09,4149.7,14,14,15,431.19,14,4790.35,480,319,0.042262,10086,5375,440,307,303.05,0.0,2808.54
2026-08-10,6140.0,20,20,21,596.79,20,7073.2,595,392,0.052056,13202,6966,556,383,343.21,491.3,4403.18
2026-08-11,6412.17,21,20,22,618.65,21,7385.04,609,401,0.053141,13601,7169,571,392,347.97,0.0,4627.9
2026-08-12,9915.2,30,29,31,887.96,30,11393.21,773,504,0.064037,18350,0,741,0,399.61,0.0,7631.89
2026-08-13,677.99,2,3,3,102.73,2,790.32,178,122,0.0,2907,1622,148,110,170.37,0.0,350.82
